weight,density,highest degree,runtime,stretch,jumpstretch
11016,0.06285714285714286,6,171,Infinity,Infinity
14418,0.06285714285714286,6,154,Infinity,Infinity
14579,0.0653061224489796,6,154,Infinity,Infinity
8213,0.060408163265306125,6,159,Infinity,Infinity
7651,0.05877551020408163,6,141,Infinity,Infinity
10409,0.062040816326530614,6,110,Infinity,Infinity
7871,0.05795918367346939,6,158,Infinity,Infinity
6920,0.0563265306122449,6,153,Infinity,Infinity
11516,0.0653061224489796,7,139,Infinity,Infinity
9607,0.05959183673469388,7,143,Infinity,Infinity
