weight,density,highest degree,runtime,stretch,jumpstretch
44887,0.01423293172690763,9,31471,Infinity,Infinity
56914,0.014618473895582329,9,28364,Infinity,Infinity
40797,0.013911646586345382,9,29886,Infinity,Infinity
47422,0.014136546184738957,8,30733,Infinity,Infinity
51175,0.014586345381526105,9,30183,Infinity,Infinity
52025,0.01442570281124498,9,31916,Infinity,Infinity
44970,0.014265060240963856,11,30400,Infinity,Infinity
47085,0.014136546184738957,9,30787,Infinity,Infinity
45078,0.01448995983935743,9,29096,Infinity,Infinity
45913,0.014136546184738957,9,30057,Infinity,Infinity
