weight,density,highest degree,runtime,stretch,jumpstretch
32364,0.020689655172413793,8,13150,Infinity,Infinity
33492,0.020821018062397372,9,13064,Infinity,Infinity
28477,0.020558292282430213,9,13125,Infinity,Infinity
38889,0.021018062397372743,11,13084,Infinity,Infinity
40477,0.02121510673234811,10,12838,Infinity,Infinity
31490,0.020426929392446634,8,13781,Infinity,Infinity
33895,0.020821018062397372,10,13098,Infinity,Infinity
33124,0.021018062397372743,10,13073,Infinity,Infinity
33858,0.020755336617405584,9,13881,Infinity,Infinity
40575,0.02121510673234811,10,12490,Infinity,Infinity
