weight,density,highest degree,runtime,stretch,jumpstretch
402298,0.21646532438478747,92,5638,740.0,8.0
497931,0.24017897091722595,119,6550,600.0,8.0
480773,0.23570469798657717,102,6379,224.33333333333334,8.0
478712,0.23364653243847874,104,5895,95.5,8.0
425035,0.2232662192393736,96,5903,145.375,8.0
459792,0.23212527964205817,86,5885,125.25,8.0
490326,0.24187919463087248,122,6514,1052.0,8.0
441119,0.22881431767337806,112,6115,182.33333333333334,8.0
462874,0.2345413870246085,107,6949,95.33333333333333,8.0
495293,0.24170022371364652,109,6309,Infinity,7.0
