weight,density,highest degree,runtime,stretch,jumpstretch
551513,0.221871921182266,147,12744,254.66666666666666,9.0
507192,0.2188505747126437,138,12173,195.5,9.0
525678,0.22417077175697867,110,13670,151.2,9.0
497424,0.21733990147783253,124,12469,275.6666666666667,9.0
462043,0.2149753694581281,148,13168,314.0,8.0
574594,0.2311330049261084,139,14127,244.0,8.0
521003,0.22213464696223317,122,13017,194.25,9.0
508431,0.22410509031198686,108,13004,438.6666666666667,8.0
468347,0.21490968801313629,119,12680,270.5,9.0
542553,0.22660098522167488,124,13187,134.33333333333334,9.0
