weight,density,highest degree,runtime,stretch,jumpstretch
138454,0.27531531531531533,47,742,132.4,8.0
149646,0.29873873873873874,52,726,83.44444444444444,7.0
158249,0.2918918918918919,51,599,96.0,6.0
141843,0.27675675675675676,49,595,117.66666666666667,6.0
145884,0.28468468468468466,52,568,68.05,6.0
155939,0.2875675675675676,54,564,47.95238095238095,7.0
164763,0.30234234234234236,55,768,94.16666666666667,5.0
152842,0.29477477477477476,57,629,130.66666666666666,6.0
160546,0.30018018018018017,61,749,40.17391304347826,6.0
165866,0.2998198198198198,44,583,40.0,6.0
