weight,density,highest degree,runtime,stretch,jumpstretch
3288,0.1,8,24,Infinity,Infinity
4912,0.11666666666666667,6,13,Infinity,Infinity
5807,0.11666666666666667,6,26,Infinity,Infinity
4786,0.10666666666666667,4,25,Infinity,Infinity
5444,0.12,5,25,Infinity,Infinity
4184,0.11333333333333333,6,27,Infinity,Infinity
3397,0.11333333333333333,5,28,Infinity,Infinity
4112,0.10666666666666667,5,25,Infinity,Infinity
4415,0.10666666666666667,5,25,Infinity,Infinity
4936,0.10666666666666667,6,25,Infinity,Infinity
