weight,density,highest degree,runtime,stretch,jumpstretch
1149963,0.19106827309236948,166,26339,173.66666666666666,11.0
1190491,0.1934136546184739,156,26918,356.0,10.0
1174448,0.1936706827309237,165,26081,Infinity,10.0
1125088,0.19074698795180722,141,23508,343.0,11.0
1114525,0.1891726907630522,154,24366,373.0,10.0
1118176,0.1911004016064257,163,25602,266.5,10.0
1211803,0.19669076305220884,176,25828,290.5,10.0
1128075,0.19065060240963855,158,25318,911.0,10.0
1178360,0.195855421686747,148,24589,892.0,10.0
1097723,0.18830522088353413,152,24653,387.42857142857144,11.0
