weight,density,highest degree,runtime,stretch,jumpstretch
91623,0.3240816326530612,35,210,13.391304347826088,5.0
97804,0.3404081632653061,34,181,247.0,4.0
76328,0.30122448979591837,31,153,Infinity,5.0
86230,0.31755102040816324,36,173,29.342105263157894,5.0
107736,0.3551020408163265,37,108,70.28571428571429,4.0
117448,0.35591836734693877,38,140,44.9375,4.0
108034,0.3640816326530612,34,110,68.88888888888889,4.0
99989,0.3224489795918367,31,109,29.37142857142857,5.0
96907,0.32653061224489793,33,114,109.0,4.0
100440,0.3346938775510204,37,148,68.16666666666667,6.0
