weight,density,highest degree,runtime,stretch,jumpstretch
147275,0.059686800894854584,18,12731,1550.0,Infinity
15020,0.027114093959731543,12,8937,Infinity,Infinity
23421,0.02586129753914989,9,9129,Infinity,Infinity
26714,0.02451901565995526,8,7661,Infinity,Infinity
127179,0.06201342281879195,18,14660,Infinity,Infinity
18306,0.03239373601789709,11,9601,Infinity,Infinity
30660,0.025503355704697986,9,7965,Infinity,Infinity
127301,0.06335570469798658,18,15025,Infinity,Infinity
23681,0.025771812080536912,8,8750,Infinity,Infinity
104061,0.060671140939597315,23,14523,443.6666666666667,Infinity
