weight,density,highest degree,runtime,stretch,jumpstretch
118872,0.3395918367346939,32,121,28.193548387096776,5.0
137813,0.36653061224489797,35,124,36.375,3.0
161744,0.37551020408163266,34,185,28.319148936170212,4.0
134894,0.34938775510204084,31,144,45.25,4.0
110601,0.32571428571428573,28,149,23.4375,5.0
157155,0.3706122448979592,33,111,79.28571428571429,4.0
128253,0.3526530612244898,32,177,18.92105263157895,4.0
156408,0.38285714285714284,33,159,87.08333333333333,5.0
147442,0.38285714285714284,34,175,38.76315789473684,4.0
132103,0.3616326530612245,34,184,88.0,4.0
