weight,density,highest degree,runtime,stretch,jumpstretch
176573,0.08787096774193548,22,8671,Infinity,Infinity
136282,0.0832258064516129,27,8869,Infinity,15.0
106841,0.07574193548387097,17,7908,Infinity,Infinity
137323,0.08683870967741936,21,8534,553.5,14.0
197710,0.08916129032258065,24,8947,Infinity,14.0
109690,0.08245161290322581,21,8075,Infinity,Infinity
164186,0.08903225806451613,23,8443,632.4,Infinity
113698,0.08296774193548387,20,8436,2160.0,14.0
35816,0.05909677419354839,16,6676,Infinity,Infinity
104480,0.07961290322580646,22,8320,615.8,14.0
