weight,density,highest degree,runtime,stretch,jumpstretch
1655763,0.17365461847389557,86,259415,Infinity,10.0
1637492,0.17297991967871487,86,258992,1166.0,11.0
1683117,0.1749397590361446,79,257890,Infinity,10.0
1622070,0.17204819277108432,98,249480,Infinity,11.0
1671989,0.17455421686746989,83,256608,1200.0,10.0
1706784,0.17465060240963856,87,253658,1994.0,10.0
1659217,0.17281927710843373,89,250314,Infinity,12.0
1679283,0.17362248995983937,92,261172,Infinity,11.0
1631899,0.17236947791164658,88,258882,Infinity,11.0
1635369,0.1722730923694779,89,258743,697.5714285714286,11.0
