weight,density,highest degree,runtime,stretch,jumpstretch
469806,0.24608501118568232,108,7831,Infinity,10.0
384013,0.22881431767337806,119,7172,278.4,9.0
446547,0.24080536912751677,116,8269,203.0,8.0
447846,0.24420581655480986,122,7635,Infinity,7.0
467882,0.24778523489932885,104,8398,113.5,7.0
435275,0.23910514541387023,128,7697,115.16666666666667,7.0
389028,0.23033557046979866,119,7243,Infinity,9.0
410969,0.23212527964205817,107,7817,131.2,8.0
442075,0.23507829977628636,125,7475,Infinity,8.0
418446,0.2345413870246085,103,8119,Infinity,10.0
