weight,density,highest degree,runtime,stretch,jumpstretch
57923,0.4633333333333333,18,24,10.666666666666666,3.0
61749,0.4766666666666667,18,30,7.892307692307693,3.0
60762,0.49666666666666665,20,26,9.697530864197532,2.0
49562,0.45,15,22,22.6,3.0
47892,0.44333333333333336,16,24,7.9021739130434785,3.0
49667,0.4266666666666667,18,22,16.23008849557522,3.0
53316,0.48,21,23,14.319148936170214,3.0
51726,0.44666666666666666,18,24,19.78082191780822,3.0
51293,0.4533333333333333,18,28,21.915254237288135,2.0
57347,0.47333333333333333,15,21,12.341666666666667,3.0
