weight,density,highest degree,runtime,stretch,jumpstretch
179583,0.21616161616161617,50,1146,364.0,6.0
179558,0.21656565656565657,54,1103,189.0,8.0
168049,0.2197979797979798,59,960,306.0,8.0
181796,0.21838383838383837,59,1019,Infinity,8.0
183804,0.21878787878787878,50,1082,88.8,8.0
197877,0.2298989898989899,53,1066,72.15,7.0
164281,0.21838383838383837,56,872,197.83333333333334,8.0
182494,0.22262626262626262,50,1077,259.0,8.0
165221,0.21454545454545454,53,1033,291.0,7.0
198300,0.22363636363636363,68,983,120.41666666666667,8.0
