weight,density,highest degree,runtime
35346,0.4633333333333333,17,14
39581,0.4766666666666667,19,19
41709,0.48333333333333334,22,17
37881,0.47,20,17
41529,0.4866666666666667,21,20
38420,0.45,18,18
40627,0.4666666666666667,21,16
30027,0.4266666666666667,21,20
43086,0.49333333333333335,22,17
30000,0.4066666666666667,18,15
