weight,density,highest degree,runtime
12277,0.04072072072072072,7,335
14456,0.04144144144144144,8,350
13873,0.043963963963963966,7,358
13088,0.04144144144144144,8,340
17125,0.04288288288288288,7,329
18088,0.043243243243243246,6,334
13810,0.04288288288288288,6,343
15601,0.043243243243243246,8,347
19085,0.044684684684684686,9,344
16455,0.04288288288288288,8,347
